nombre,valoracion,num_valoraciones,precio,tipo,direccion,caracteristicas,horario,servicios
"Casa Fidel O'Pulpeiro",4.6,4780,"€20-30","Restaurante","Rúa San Nicolás, 7","No-frills Galician seafood joint","Closed • Opens 12:30PM","Dine-in • Takeout • No delivery"
"Gumer - Restaurante Pontevedra",4.7,911,"€30-40","Restaurante","R. Xeneral Martitegui, 4","","Closed • Opens 1PM","Dine-in • No takeout • No delivery"
"Casa Román - Pontevedra",4.4,1635,"$$$","Galician","Av. Augusto García Sánchez, 12","Refined venue specializing in seafood","Closed • Opens 1:30PM","Dine-in • No delivery"
"Restaurante La Casa De Las 5 Puertas",4.4,1164,"€30-40","Restaurante","Av. Santa María, 8, 1º","Noted stop for Spanish omelet & seafood","Closed • Opens 1PM","Dine-in • No delivery"
"Alcrique",0,0,"","","","","",""
