nombre,valoracion,num_valoraciones,precio,tipo,direccion,caracteristicas,servicios
"Parador de Pontevedra",4.2,1439,"$91","4-star hotel","","Elegant hotel in a former 1500s palace","Free Wi-Fi • Air-conditioned • Breakfast • Wi-Fi"
"Galicia Palace",4.1,1741,"$84","4-star hotel","","Informal hotel with a restaurant","Free Wi-Fi • Air-conditioned • Breakfast • Wi-Fi"
"Hotel Rías Bajas",4.1,1461,"$87","3-star hotel","","Relaxed option with Galician dining",""
"Hotel Alda Centro Pontevedra",3.2,691,"$44","1-star hotel","","",""
"Hotel Madrid",3.5,564,"$49","1-star hotel","","",""
"Pensión A Xanela",,,"$68","","","",""
"Casa Maruxa",3.5,296,"$40","2-star hotel","","",""
"Sweet Home Pontevedra",,,"","","","",""
"BULEZEN URBAN HOSTEL",,,"","","","",""
